item,itemLabel,itemDescription,coordinate,instance_ofLabel,named_afters,named_afterLabel,named_afterDescriptions,named_after_instance_ofLabels,named_after_genderLabel,postal_codes,length,inception,place_of_birth,place_of_death,citizenships,occupations,birth_years,death_years
http://www.wikidata.org/entity/Q66587487,Rauchstraße,Straße in Dresden,Point(13.698186 51.073568),Innerortsstraße,http://www.wikidata.org/entity/Q714972,Christian Daniel Rauch,,,männlich,01139,,,Bad Arolsen,Dresden,Waldeck,"bildender Künstler, Bildhauer, Kunsthistoriker",1777,1857
http://www.wikidata.org/entity/Q66311184,Hähnelstraße,Straße in Dresden,Point(13.76457 51.045695),Innerortsstraße,http://www.wikidata.org/entity/Q567374,Ernst Hähnel,,,männlich,01307,,,Dresden,Dresden,Königreich Sachsen,"Bildhauer, Hochschullehrer, Lehrer",1811,1891
http://www.wikidata.org/entity/Q72662113,Chopinstraße,Straße in Dresden,Point(13.83288 51.06135),Innerortsstraße,http://www.wikidata.org/entity/Q1268,Frédéric Chopin,,,männlich,01324,,,Żelazowa Wola,Paris,"Frankreich,Russisches Kaiserreich,Zweite Französische Republik,Herzogtum Warschau,Kongresspolen","Musikpädagoge, Pädagoge, Musiker, Pianist, Virtuose, Komponist",1810,1849
http://www.wikidata.org/entity/Q67874133,Schlömilchstraße,Straße in Dresden,Point(13.817224 51.034588),Innerortsstraße,http://www.wikidata.org/entity/Q65178,Oskar Schlömilch,,,männlich,01279,,,Weimar,Dresden,Sachsen-Weimar-Eisenach,"Hochschullehrer, Herausgeber, Mathematiker",1823,1901
http://www.wikidata.org/entity/Q72662094,Carl-Maria-von-Weber-Straße,Straße in Dresden,Point(13.8515 51.00999),Innerortsstraße,http://www.wikidata.org/entity/Q154812,Carl Maria von Weber,,,männlich,01259,,,Eutin,London,Hochstift Lübeck,"klassischer Gitarrist, Musikkritiker, Gitarrist, Pianist, Dirigent, Komponist",1786,1826
http://www.wikidata.org/entity/Q72662107,Charlottenstraße,Straße in Dresden (Radeberger Vorstadt),Point(13.781149 51.069776),Innerortsstraße,http://www.wikidata.org/entity/Q72642,Charlotte von Schiller,,,weiblich,01099,,,Rudolstadt,Bonn,Schwarzburg-Rudolstadt,Schriftsteller,1766,1826
http://www.wikidata.org/entity/Q67923570,Herkulesallee,Straße in Dresden,Point(13.763524 51.039355),Innerortsstraße,http://www.wikidata.org/entity/Q122248,Herakles,,,männlich,01219,,,Theben,,Theben,mythische Figur,,
http://www.wikidata.org/entity/Q72662124,Clara-Viebig-Straße,Straße in Dresden,Point(13.70398 51.03833),Innerortsstraße,http://www.wikidata.org/entity/Q71465,Clara Viebig,,,weiblich,01159,,,Trier,Berlin,Deutschland,"Journalist, Dramatiker, Schriftsteller",1860,1952
http://www.wikidata.org/entity/Q72662126,Clara-Zetkin-Straße,Innerortsstraße in Dresden,Point(13.69634 51.03788),Innerortsstraße,http://www.wikidata.org/entity/Q75823,Clara Zetkin,,,weiblich,01159,,,Königshain-Wiederau,,"Deutschland,Sowjetunion,Weimarer Republik,Deutsches Kaiserreich,Königreich Sachsen","Frauenrechtler, Friedensaktivist, Herausgeber, Journalist, Suffragette, Politiker, Lehrer, Schriftsteller",1857,1933
http://www.wikidata.org/entity/Q72662140,Conrad-Felixmüller-Straße,Straße in Dresden,Point(13.77632 51.01748),Innerortsstraße,http://www.wikidata.org/entity/Q693095,Conrad Felixmüller,,,männlich,01219,,,Dresden,Zehlendorf,Deutschland,"Druckgrafiker, Maler, Illustrator",1897,1977
http://www.wikidata.org/entity/Q72662140,Conrad-Felixmüller-Straße,Straße in Dresden,Point(13.77632 51.01748),Innerortsstraße,http://www.wikidata.org/entity/Q693095,Conrad Felixmüller,,,männlich,01219,,,Dresden,Berlin,Deutschland,"Druckgrafiker, Maler, Illustrator",1897,1977
http://www.wikidata.org/entity/Q72662145,Corinthstraße,Straße in Dresden,Point(13.76217 51.02039),Innerortsstraße,http://www.wikidata.org/entity/Q157610,Lovis Corinth,,,männlich,"01217, 01219",,,Gwardeisk,Zandvoort,"Deutschland,Königreich Preußen","Lithograf, Bühnenbildner, Radierer, Zeichner, Druckgrafiker, Hochschullehrer, Maler, Illustrator",1858,1925
http://www.wikidata.org/entity/Q72662155,Coselgasse,Straße in Dresden-Laubegast,Point(13.842552 51.020061),Innerortsstraße,http://www.wikidata.org/entity/Q76376,Constantia von Cosel,,,weiblich,01279,,,Stolpe,Stolpen,Deutschland,Hofdame,1680,1765
