Ident;Straßenschlüssel;Straßenname;Ungerade Hausnummer von;Ungerade Hausnummer bis;Gerade Hausnummer von;Gerade Hausnummer bis;Stadtbezirk/Ortschaft;Gemarkung;Statistischer Bezirk;Finanzamtsbereich;PLZ;Bundestagswahlkreis;Landtagswahlkreis;Kommunalwahlkreis
3278;08081;"Löscherstraße                      ";"1   ";"5   ";"6   ";"    ";"Blasewitz           ";"Blasewitz                ";544  Striesen-West(Löscherstr);"Süd ";01309;158;"  ";"  "
3279;08081;"Löscherstraße                      ";"7   ";"21a ";"    ";"    ";"Blasewitz           ";"Striesen                 ";544  Striesen-West(Löscherstr);"Süd ";01309;158;"  ";"  "
3280;08081;"Löscherstraße                      ";"    ";"    ";"8   ";"    ";"Blasewitz           ";"Dresden-Altstadt 2       ";544  Striesen-West(Löscherstr);"Süd ";01309;158;"  ";"  "
3281;08081;"Löscherstraße                      ";"    ";"    ";"16  ";"24a ";"Blasewitz           ";"Striesen                 ";544  Striesen-West(Löscherstr);"Süd ";01309;158;"  ";"  "
3282;08081;"Löscherstraße                      ";"25  ";"31  ";"28  ";"32  ";"Blasewitz           ";"Striesen                 ";543  Striesen-West(Wormser Pl);"Süd ";01309;158;"  ";"  "
3283;08081;"Löscherstraße                      ";"33  ";"43  ";"    ";"    ";"Blasewitz           ";"Striesen                 ";542  Striesen-West(Tittmannstr);"Süd ";01309;158;"  ";"  "
3284;07004;"Loschwitzer Brücke                 ";"U   ";"    ";"    ";"    ";"Loschwitz           ";"Loschwitz                ";412  Loschwitz(Körnerplatz);Nord;01326;159;"  ";"  "
3285;07004;"Loschwitzer Brücke                 ";"U   ";"    ";"    ";"    ";"Blasewitz           ";"Blasewitz                ";515  Blasewitz(Oehmestr);"Süd ";01309;158;"  ";"  "
3286;07004;"Loschwitzer Brücke                 ";"U   ";"    ";"    ";"    ";"Blasewitz           ";"Blasewitz                ";518  Elbwiesen Blasewitz;"Süd ";01309;158;"  ";"  "
3287;07004;"Loschwitzer Brücke                 ";"U   ";"    ";"    ";"    ";"Blasewitz           ";"Blasewitz                ";512  Blasewitz(Schillerpl);"Süd ";01309;158;"  ";"  "
3288;08004;"Loschwitzer Straße                 ";"1   ";"15a ";"2   ";"16  ";"Blasewitz           ";"Blasewitz                ";511  Blasewitz(Händelallee);"Süd ";01309;158;"  ";"  "
3289;08004;"Loschwitzer Straße                 ";"17  ";"53  ";"18  ";"58  ";"Blasewitz           ";"Blasewitz                ";512  Blasewitz(Schillerpl);"Süd ";01309;158;"  ";"  "
3290;07161;"Loschwitzer Wiesenweg              ";"U   ";"    ";"    ";"    ";"Loschwitz           ";"Wachwitz                 ";414  Wachwitz;Nord;01326;159;"  ";"  "
3291;07161;"Loschwitzer Wiesenweg              ";"U   ";"    ";"    ";"    ";"Loschwitz           ";"Loschwitz                ";412  Loschwitz(Körnerplatz);Nord;01326;159;"  ";"  "
3292;14518;"Lößnitzblick                       ";"    ";"    ";"    ";"    ";"Mobschatz           ";"Mobschatz                ";906  Mobschatz;"Süd ";01156;159;"  ";"  "
3293;05007;"Lößnitzstraße                      ";"3   ";"5   ";"2a  ";"8   ";"Neustadt            ";"Dresden-Neustadt         ";111  Äußere Neust.(Schönbrunnstr);Nord;01097;159;"  ";"  "
3294;05007;"Lößnitzstraße                      ";"7b  ";"    ";"    ";"    ";"Neustadt            ";"Dresden-Neustadt         ";131  Innere Neust.(Königstr);Nord;01097;159;"  ";"  "
3295;05007;"Lößnitzstraße                      ";"9   ";"25  ";"12  ";"24  ";"Neustadt            ";"Dresden-Neustadt         ";142  Leipziger Vs.(Rudolfstr);Nord;01097;159;"  ";"  "
3296;04036;"Lößnitzweg                         ";"    ";"    ";"    ";"    ";"Klotzsche           ";"Wilschdorf               ";321  Wilschdorf;Nord;01109;159;"  ";"  "
3297;00077;"Lothringer Straße                  ";"1   ";"7   ";"    ";"    ";"Altstadt            ";"Dresden-Altstadt 1       ";024  Pirnaische Vs.(Pestalozzistr);"Süd ";01069;158;"  ";"  "
