ID,Wikidata-Item,Straßenname,Koordinaten,Wikidata-Item (benannt nach),benannt nach,Beschreibung (benannt nach),Postleitzahl,lokaler Bezug,Benennungstyp,Benennungstyp II,Tätigkeitsfeld,Tätigkeitsfeld II,Verbindung,Sonstiges,Grundwort,Strassenendung
2674,http://www.wikidata.org/entity/Q99395862,Altlöbtau,Point(13.699569 51.046606),http://www.wikidata.org/entity/Q1879617,Löbtau,"Stadtteil der Landeshauptstadt Dresden, Sachsen, Deutschland",1159,ja,Ort,Stadtteil,,,,,Sonstige,Sonstige
2493,http://www.wikidata.org/entity/Q100936699,Meißner Straße (Trachau),Point(13.699642 51.092486),http://www.wikidata.org/entity/Q8738,Meißen,"Große Kreisstadt im Landkreis Meißen, Sachsen, Deutschland",1445,nein,Ort,,,,,,Straße,Sonstige
1103,http://www.wikidata.org/entity/Q66619391,Wächterstraße,Point(13.69975 51.08519),http://www.wikidata.org/entity/Q91083,Karl Georg von Wächter,deutscher Jurist,1139,nein,Person real,,,,,,Straße,Straße
949,http://www.wikidata.org/entity/Q72662495,Fritz-Schulze-Straße,Point(13.69976 51.03095),http://www.wikidata.org/entity/Q1468335,Fritz Schulze,deutscher Maler und Widerstandskämpfer gegen den Nationalsozialismus,1159,ja,Person real,,,,,,Straße,Straße
1842,http://www.wikidata.org/entity/Q96058491,Leumerstraße,Point(13.69987 51.03917),,Karl Gottlob Leumer,Gärtnereibesitzer und Stifter in Löbtau,1159,ja,Person real,,,,,,Straße,Straße
2325,http://www.wikidata.org/entity/Q96058582,Mohorner Straße,Point(13.69988 51.03502),http://www.wikidata.org/entity/Q1942897,Mohorn (Wilsdruff),Ort in Deutschland,1159,nein,Ort,,,,,,Straße,Straße
437,http://www.wikidata.org/entity/Q72662420,Frankenbergstraße,Point(13.69988 51.03646),http://www.wikidata.org/entity/Q1434274,Flurname,Bezeichnung eines kleinräumigen Landschaftsteils,1159,ja,weitere Geografika,Flurname,,,,,Straße,Straße
2121,http://www.wikidata.org/entity/Q8161318,Tharandter Straße,Point(13.6999 51.0258),http://www.wikidata.org/entity/Q8245,Tharandt,"Stadt im Landkreis Sächsische Schweiz-Osterzgebirge, Sachsen, Deutschland","01159, 01187, 01189",nein,Ort,,,,,,Straße,Straße
425,http://www.wikidata.org/entity/Q67311557,An der Böschung,Point(13.699926 51.093289),,,,1139,ja,weitere Geografika,Flurname,,,,,Sonstige,Sonstige
2734,http://www.wikidata.org/entity/Q72661075,Altfrankener Straße,Point(13.69998 51.03204),http://www.wikidata.org/entity/Q8888,Altfranken,"Ortschaft der Landeshauptstadt Dresden, Sachsen, Deutschland",1159,ja,Ort,Stadtteil,,,,,Straße,Straße
426,http://www.wikidata.org/entity/Q67311673,Rodung,Point(13.69998 51.09397),,,,1139,ja,weitere Geografika,Flurname,,,,,Sonstige,Sonstige
2343,http://www.wikidata.org/entity/Q98167492,Mannheimer Straße,Point(13.70003 51.01493),http://www.wikidata.org/entity/Q2119,Mannheim,"Groß- und Universitätsstadt in Baden-Württemberg, Deutschland",1189,nein,Ort,,,,,,Straße,Straße
