Straßenname,Ortsname,lat,lon,adresse
Marsdorfer Hauptstraße,Marsdorf,51.1630719,13.7681898,"Marsdorf, Dresden, Sachsen, 01108, Deutschland"
Wismarer Straße,Wismar,53.8909832,11.4647932,"Wismar, Nordwestmecklenburg, Mecklenburg-Vorpommern, Deutschland"
Greifswalder Straße,Greifswald,54.095791,13.3815238,"Greifswald, Vorpommern-Greifswald, Mecklenburg-Vorpommern, Deutschland"
Radeberger Straße,Radeberg,51.1151413,13.9175257,"Radeberg, Bautzen - Budyšin, Sachsen, 01454, Deutschland"
Karlshagener Weg,Karlshagen,54.1166965,13.8291312,"Karlshagen, Usedom-Nord, Vorpommern-Greifswald, Mecklenburg-Vorpommern, 17449, Deutschland"
Grunaer Weg,Gruna (Dresden),51.0332929,13.7864783,"Gruna, Blasewitz, Dresden, Sachsen, Deutschland"
Sonnensteinweg,Sonnenstein (Pirna),50.95688,13.9513544,"Sonnenstein, Pirna, Sächsische Schweiz-Osterzgebirge, Sachsen, 01796, Deutschland"
Alttorna,Torna (Dresden),51.007275,13.7780781,"Torna, Prohlis, Dresden, Sachsen, 01239, Deutschland"
Stralsunder Straße,Stralsund,54.3096314,13.0820846,"Stralsund, Vorpommern-Rügen, Mecklenburg-Vorpommern, Deutschland"
Kieler Straße,Kiel,54.3227085,10.135555,"Kiel, Schleswig-Holstein, Deutschland"
Blasewitzer Straße,Blasewitz,51.0521778,13.7990205,"Blasewitz, Dresden, Sachsen, Deutschland"
Tetschener Straße,Děčín,50.7824196,14.2147221,"Děčín, okres Děčín, Ústecký kraj, Severozápad, Česko"
Wormser Platz,Worms,49.6302618,8.3620898,"Worms, Rheinland-Pfalz, Deutschland"
Tornaer Ring,Torna (Dresden),51.007275,13.7780781,"Torna, Prohlis, Dresden, Sachsen, 01239, Deutschland"
Boltenhagener Platz,Boltenhagen,53.9864246,11.205923,"Boltenhagen, Klützer Winkel, Nordwestmecklenburg, Mecklenburg-Vorpommern, 23946, Deutschland"
Zinnowitzer Straße,Zinnowitz,54.076647,13.9089471,"Zinnowitz, Usedom-Nord, Vorpommern-Greifswald, Mecklenburg-Vorpommern, 17454, Deutschland"
Mansfelder Straße,Mansfeld,51.5929057,11.4529104,"Mansfeld, Mansfeld-Südharz, Sachsen-Anhalt, 06343, Deutschland"
Rostocker Straße,Rostock,54.0886707,12.1400211,"Rostock, Mecklenburg-Vorpommern, Deutschland"
Striesener Winkel,Striesen,51.0434696,13.7860506,"Striesen, Blasewitz, Dresden, Sachsen, 01309, Deutschland"
Geisingstraße,Geising,50.7564882,13.7938278,"Geising, Altenberg, Sächsische Schweiz-Osterzgebirge, Sachsen, 01778, Deutschland"
Merseburger Straße,Merseburg,51.3564413,11.996148,"Merseburg, Saalekreis, Sachsen-Anhalt, 06217, Deutschland"
Göhrener Weg,Göhren,54.3406599,13.7449147,"Göhren, Mönchgut-Granitz, Vorpommern-Rügen, Mecklenburg-Vorpommern, 18586, Deutschland"
Putbuser Weg,Putbus,54.3535322,13.4749134,"Putbus, Vorpommern-Rügen, Mecklenburg-Vorpommern, 18581, Deutschland"
Tornaer Straße,Torna (Dresden),51.007275,13.7780781,"Torna, Prohlis, Dresden, Sachsen, 01239, Deutschland"
Königswaldplatz,Klotzsche,51.1186284,13.7781539,"Klotzsche, Dresden, Sachsen, 01109, Deutschland"
